nom_mat,cod_mat
 'Álgebra',44
 'Cálculo',45
 'Eletricidade',46
 'Hidráulica Geral',47
 'Mecânica dos Solos',48
 'Resistência dos Materiais',49
 'Saneamento Básico',50
 'Tecnologia da Construção',51
 'Projetos de Engenharia Civil',52
 'Instalações Elétricas e Telefônicas',53
 'Estruturas Metálicas',54
