nom_mat,cod_mat
"""Imagem, Estética e Semiótica"",66"
"""Comportamento do Consumidor"",67"
"""Atendimento Publicitário"",68"
"""Fotografia Publicitária"",69"
"""Mídia I"",70"
"""Mídia II"",71"
"""Planejamento de Campanha I"",72"
"""Planejamento de Campanha II"",73"
"""Linguagem da Propaganda"",74"
"""Pesquisa Mercadológica"",75"
"""Teorias da Comunicação"",76"
